HEAT_HOT WATER: 0.14, 0.18, 0.18, 0.19, 0.2, 0.27, 0.27, 
Noise - Residential: 0.08, 0.08, 0.08, 0.08, 0.08, 0.08, 0.08, 
Illegal Parking: 0.16, 0.16, 0.16, 0.16, 0.17, 0.17, 0.18, 
Blocked Driveway: 0.17, 0.17, 0.17, 0.17, 0.17, 0.17, 0.18, 
Street Condition: 0.31, 0.35, 0.34, 0.35, 0.38, 0.38, 0.38, 
UNSANITARY CONDITION: 0.14, 0.16, 0.17, 0.19, 0.34, 0.36, 0.38, 
Water System: 1.0, 1.04, 1.04, 1.03, 1.02, 1.02, 1.02, 
Street Light Condition: 0.7, 0.72, 0.72, 0.71, 0.71, 0.72, 0.72, 
Noise - Street_Sidewalk: 0.34, 0.35, 0.35, 0.35, 0.36, 0.36, 0.35, 
PAINT_PLASTER: 0.19, 0.2, 0.21, 0.22, 0.26, 0.26, 0.27, 
